"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9"
"cg00075967",0.0353473196737468,0.178005531197414,0.248921264195815,0.185881425859407,0.605393960373476,0.958113237051293,0.233109586406499,0.230795442359522,0.719751202035695
"cg00374717",0.177297150949016,0.394867103314027,0.329013364389539,0.861790501512587,0.0879256969783455,0.646062355721369,0.605286534642801,0.449987754225731,0.411443013697863
"cg00864867",0.239287456730381,0.0863117689732462,0.414109836565331,0.442880754126236,0.0629512851592153,0.13360388809815,0.742218468338251,0.847830440616235,0.606124070705846
"cg00945507",0.730621018446982,0.789240833139047,0.577158274361864,0.459303331095725,0.322884597349912,0.0211560586467385,0.684259525267407,0.982831041328609,0.586490856716409
"cg01027739",0.00329278549179435,0.971088746096939,0.20277647045441,0.868710379116237,0.0888285236433148,0.0884860081132501,0.0270133779849857,0.0424652274232358,0.563737176125869
"cg01353448",0.734954029787332,0.957606196170673,0.783426056616008,0.820553044555709,0.724403405329213,0.290169371291995,0.500423459103331,0.387956792023033,0.0941150912549347
"cg01584473",0.642476972425357,0.58229296375066,0.38913808343932,0.187056359369308,0.780800293665379,0.673135022865608,0.779222713783383,0.157572560943663,0.128675485262647
"cg01644850",0.638182905968279,0.864092571195215,0.389297465328127,0.933095473330468,0.147716555278748,0.0133722918108106,0.0386951013933867,0.604135085595772,0.95872300863266
"cg01656216",0.135595125844702,0.964888986898586,0.73161337361671,0.736534404568374,0.678294684272259,0.138597204349935,0.664647124940529,0.533666248200461,0.0773519154172391
"cg01873645",0.00379918841645122,0.743753928458318,0.105100114131346,0.987154659582302,0.106668763561174,0.32432563463226,0.265868631890044,0.660592075902969,0.431526274653152
"cg01968178",0.105195611715317,0.011081573786214,0.133275449974462,0.229871863499284,0.00249591190367937,0.451333694159985,0.115310899214819,0.861764440312982,0.627061566337943
"cg02085507",0.953999721212313,0.73248335858807,0.0683888026978821,0.259410161990672,0.569020295981318,0.682066054549068,0.721671526553109,0.100165678188205,0.693782526068389
"cg02154074",0.227137800771743,0.897026135120541,0.683071666397154,0.530329738743603,0.947740378323942,0.393351517617702,0.987028009723872,0.659733814653009,0.975241769338027
"cg02217159",0.708401099545881,0.871694990433753,0.47005601762794,0.388861501822248,0.960186787648126,0.935115826083347,0.79826635401696,0.311343792360276,0.458667669910938
"cg02331561",0.192666969262064,0.304580422816798,0.234677564818412,0.396341408835724,0.428973171627149,0.266765439650044,0.0850049406290054,0.785171191906556,0.51971074170433
"cg02332492",0.267288668779656,0.618990136310458,0.424564373446628,0.505015985341743,0.788273714948446,0.734497983707115,0.961061203852296,0.0861090805847198,0.0140919354744256
"cg02364642",0.614635647507384,0.965397595660761,0.063397814752534,0.448518418241292,0.199974480317906,0.947824999224395,0.342575219692662,0.298829587642103,0.897443997906521
"cg02388150",0.523268098477274,0.335833238204941,0.673991619609296,0.229015483288094,0.64504551817663,0.580763254314661,0.919021081877872,0.301291645970196,0.0814825736451894
"cg02479575",0.12120410380885,0.265852490905672,0.276613021967933,0.281608414137736,0.847074953839183,0.856022370280698,0.680849688360468,0.687853136565536,0.262786546256393
"cg02489552",0.707843106472865,0.0609788519795984,0.325024030869827,0.904078791616485,0.589236292522401,0.308242473052815,0.617572028655559,0.90532042295672,0.158291885396466
"cg02580606",0.333305385662243,0.387805850477889,0.296175599331036,0.505771555472165,0.578394131967798,0.613389205886051,0.186323550529778,0.729035082040355,0.828196761664003
"cg02654291",0.456462655914947,0.833125605713576,0.25295345322229,0.457932313671336,0.328629937954247,0.572571945376694,0.172243781387806,0.458661266602576,0.25207402324304
"cg02827112",0.819002684904262,0.3967354320921,0.562132659601048,0.665398480603471,0.0729103782214224,0.295350613305345,0.0791639690287411,0.572908305330202,0.70158957131207
"cg02972551",0.447547498857602,0.531033283798024,0.620506973238662,0.464418659452349,0.675557923968881,0.351599296787754,0.956171695608646,0.255471540847793,0.922718275105581
"cg03103192",0.462680302327499,0.77859053760767,0.600046857725829,0.283731141360477,0.0247968456242234,0.436937372898683,0.572007776238024,0.952715830411762,0.581068815663457
"cg03167275",0.704405224416405,0.73246973240748,0.432899175211787,0.16395993437618,0.851478279568255,0.0598889600951225,0.036416569724679,0.174590100068599,0.192310602404177
